ID,Proposal title,Session type,Track,Language,Dontrecordthissession,SpeakerIDs,Speakernames,Room
3ULADH,ChaosZone Treffen,Workshop,Workshop,de,True,EYFVAK,pilgrim,HQ
3YVH3L,Männlichkeitskritik organisieren?! [DE],Other,LiTa,de,True,,,Seminarraum
7GVU8U,"CRA and friends: EU product, service and software regulation",Vortrag,Andere,en,False,AEMJC7,fukami,Henny Brenner Saal
8BQFAG,Openwashing ans Licht!,Vortrag,Andere,de,False,QSTPRC,Johannes Näder,Kabinett
8NWGLW,Bricken Impossible - Betreutes Flashen,Workshop,Workshop,de,False,VQUUHH,Bits & Bäume Dresden,Bar
99KWCJ,Jung Hacking Space,Other,JungHackende,de,True,MCEYZT,CmS Team,Farbwerk kleiner Raum
9BLCMK,Digital Fight Club - Was hat das Netz je Gutes für uns getan?,Vortrag,Gesellschaft,de,False,"9RUMYT, RZRDT3","Medienkulturzentrum Dresden e.V., Anne Hilliger",Kleiner Saal
9FFNMJ,"Concert & Party feat. Unicorn Partisan, Ophelia",Vortrag,Unterhaltung,en,True,CC7SFZ,a-dreden,Bar
9PSSVZ,Wikidata-Spielenachmittag/-abend,Other,Unterhaltung,de,False,"U7MZAJ, F9CTZ8","Mr N, Hogü-456",Bar
9QMNPD,Digitale Mündigkeit in Schulen,Vortrag,Gesellschaft,de,False,UDW9WJ,Senf,Kleiner Saal
APBUMN,Community Accountability Workshop [DE],Vortrag,LiTa,de,True,,,Seminarraum
AQWT7Z,Haben wir nicht alle ein paar Issues? Reale Probleme lösen wie Software­entwickler:innen,Workshop,Workshop,de,False,NDMNTL,Carsten Knoll,Seminarraum
BJGXS7,"Yuval Carasso:  Challenges of organizing struggle against the Israeli occupation, Apartheid, and Genocide",Vortrag,LiTa,de,False,,,Kleiner Saal
BQBNYV,"Linux ""Hello World!"" nur mit einem Hex Editor",Vortrag,Technik,de,False,G3PMUT,Katzenmann,Kabinett
BRHWRP,GNU Taler Merchant Integrationsworkshop,Workshop,Workshop,de,False,XTSDF9,Florian Dold,Seminarraum
C8PW8U,Simboxes & Scams: The long road to SS7,Vortrag,Technik,en,False,XTFGTC,Ryan Williams,Kabinett
CBST3W,Live Synthesizer Session,Other,Unterhaltung,en,False,YWX97Q,anni_,Bar
CF89CW,Schönheitsideale in die Tonne treten! [DE],Other,LiTa,de,True,,,IZ
CGL3ZS,Der STF und die Tragödie der Digitalen Allmende,Vortrag,Andere,de,False,ULPBFB,Mirko Swillus,Henny Brenner Saal
CQAE7T,OpenStreetMap - Infostand,Other,Stand,de,False,"8VXB8S, YPGDKA","Jürgen, Theodor Rieche",Hof 1
CQBJL8,Staatliche Überwachung: Erfahrungen und Beispiele aus der Praxis,Vortrag,Sicherheit,de,False,GURAPX,Marco B.,Kabinett
CUVLZG,"Hacking is a Mindset, Not a Skillset: A Non-Technical Guide to Building Solidarity Infrastructures and Clowning",Other,Andere,en,False,FLBSGY,IO,Kabinett
CWKC3U,lockpicking village,Workshop,Workshop,de,True,KYCUEM,alice,Bar
DBM9YN,Jüdischer Anarchismus - Eine Einführung,Vortrag,LiTa,de,False,,,Henny Brenner Saal
DQPYCX,"Freiheit, Gleichheit und irgendwas mit Wirtschaft",Vortrag,Andere,de,False,CPHBLZ,Lino,
DRCYQJ,rj45 keychain,Workshop,Workshop,de,True,KYCUEM,alice,
